StCoFIPS,month,season,n_days,total_days,pct_days
01001,1,Cold,31,31,1
01001,2,Cold,27,28,0.9642857142857143
01001,3,Temperate,21,31,0.6774193548387096
01001,4,Temperate,30,30,1
01001,5,Warm,16,31,0.5161290322580645
01001,6,Warm,30,30,1
01001,7,Warm,31,31,1
01001,8,Warm,31,31,1
01001,9,Warm,28,30,0.9333333333333333
01001,10,Temperate,30,31,0.967741935483871
01001,11,Cold,19,30,0.6333333333333333
01001,12,Cold,31,31,1
01003,1,Cold,31,31,1
01003,2,Cold,27,28,0.9642857142857143
01003,3,Temperate,23,31,0.7419354838709677
01003,4,Temperate,30,30,1
01003,5,Warm,18,31,0.5806451612903226
01003,6,Warm,30,30,1
01003,7,Warm,31,31,1
01003,8,Warm,31,31,1
01003,9,Warm,30,30,1
01003,10,Temperate,27,31,0.8709677419354839
01003,11,Cold,18,30,0.6
01003,12,Cold,31,31,1
01005,1,Cold,31,31,1
01005,2,Cold,27,28,0.9642857142857143
01005,3,Temperate,22,31,0.7096774193548387
01005,4,Temperate,30,30,1
01005,5,Warm,18,31,0.5806451612903226
01005,6,Warm,30,30,1
01005,7,Warm,31,31,1
01005,8,Warm,31,31,1
01005,9,Warm,28,30,0.9333333333333333
01005,10,Temperate,31,31,1
01005,11,Cold,18,30,0.6
01005,12,Cold,31,31,1
01007,1,Cold,31,31,1
01007,2,Cold,28,28,1
01007,3,Temperate,21,31,0.6774193548387096
01007,4,Temperate,30,30,1
01007,5,Warm,16,31,0.5161290322580645
01007,6,Warm,30,30,1
01007,7,Warm,31,31,1
01007,8,Warm,31,31,1
01007,9,Warm,28,30,0.9333333333333333
01007,10,Temperate,30,31,0.967741935483871
01007,11,Cold,19,30,0.6333333333333333
01007,12,Cold,31,31,1
01009,1,Cold,31,31,1
01009,2,Cold,28,28,1
01009,3,Temperate,23,31,0.7419354838709677
01009,4,Temperate,30,30,1
01009,5,Warm,17,31,0.5483870967741935
01009,6,Warm,30,30,1
01009,7,Warm,31,31,1
01009,8,Warm,31,31,1
01009,9,Warm,26,30,0.8666666666666667
01009,10,Temperate,30,31,0.967741935483871
01009,11,Cold,19,30,0.6333333333333333
01009,12,Cold,31,31,1
01011,1,Cold,31,31,1
01011,2,Cold,27,28,0.9642857142857143
01011,3,Temperate,22,31,0.7096774193548387
01011,4,Temperate,30,30,1
01011,5,Warm,19,31,0.6129032258064516
01011,6,Warm,30,30,1
01011,7,Warm,31,31,1
01011,8,Warm,31,31,1
01011,9,Warm,28,30,0.9333333333333333
01011,10,Temperate,30,31,0.967741935483871
01011,11,Cold,18,30,0.6
01011,12,Cold,31,31,1
01013,1,Cold,31,31,1
01013,2,Cold,27,28,0.9642857142857143
01013,3,Temperate,23,31,0.7419354838709677
01013,4,Temperate,30,30,1
01013,5,Warm,19,31,0.6129032258064516
01013,6,Warm,30,30,1
01013,7,Warm,31,31,1
01013,8,Warm,31,31,1
01013,9,Warm,29,30,0.9666666666666667
01013,10,Temperate,30,31,0.967741935483871
01013,11,Cold,18,30,0.6
01013,12,Cold,31,31,1
01015,1,Cold,31,31,1
01015,2,Cold,28,28,1
01015,3,Temperate,21,31,0.6774193548387096
01015,4,Temperate,30,30,1
01015,5,Temperate,16,31,0.5161290322580645
01015,6,Warm,30,30,1
01015,7,Warm,31,31,1
01015,8,Warm,31,31,1
01015,9,Warm,26,30,0.8666666666666667
01015,10,Temperate,30,31,0.967741935483871
01015,11,Cold,19,30,0.6333333333333333
01015,12,Cold,31,31,1
01017,1,Cold,31,31,1
01017,2,Cold,27,28,0.9642857142857143
01017,3,Temperate,22,31,0.7096774193548387
01017,4,Temperate,30,30,1
01017,5,Warm,17,31,0.5483870967741935
01017,6,Warm,30,30,1
01017,7,Warm,31,31,1
01017,8,Warm,31,31,1
01017,9,Warm,28,30,0.9333333333333333
01017,10,Temperate,31,31,1
01017,11,Cold,19,30,0.6333333333333333
01017,12,Cold,31,31,1
01019,1,Cold,31,31,1
01019,2,Cold,28,28,1
01019,3,Temperate,21,31,0.6774193548387096
01019,4,Temperate,30,30,1
01019,5,Temperate,16,31,0.5161290322580645
01019,6,Warm,30,30,1
01019,7,Warm,31,31,1
01019,8,Warm,31,31,1
01019,9,Warm,26,30,0.8666666666666667
01019,10,Temperate,30,31,0.967741935483871
01019,11,Cold,20,30,0.6666666666666666
01019,12,Cold,31,31,1
01021,1,Cold,31,31,1
01021,2,Cold,27,28,0.9642857142857143
01021,3,Temperate,22,31,0.7096774193548387
01021,4,Temperate,30,30,1
01021,5,Warm,16,31,0.5161290322580645
01021,6,Warm,30,30,1
01021,7,Warm,31,31,1
01021,8,Warm,31,31,1
01021,9,Warm,28,30,0.9333333333333333
01021,10,Temperate,30,31,0.967741935483871
01021,11,Cold,19,30,0.6333333333333333
01021,12,Cold,31,31,1
01023,1,Cold,31,31,1
01023,2,Cold,27,28,0.9642857142857143
01023,3,Temperate,23,31,0.7419354838709677
01023,4,Temperate,30,30,1
01023,5,Warm,17,31,0.5483870967741935
01023,6,Warm,30,30,1
01023,7,Warm,31,31,1
01023,8,Warm,31,31,1
01023,9,Warm,28,30,0.9333333333333333
01023,10,Temperate,30,31,0.967741935483871
01023,11,Cold,19,30,0.6333333333333333
01023,12,Cold,31,31,1
01025,1,Cold,31,31,1
01025,2,Cold,27,28,0.9642857142857143
01025,3,Temperate,23,31,0.7419354838709677
01025,4,Temperate,30,30,1
01025,5,Warm,16,31,0.5161290322580645
01025,6,Warm,30,30,1
01025,7,Warm,31,31,1
01025,8,Warm,31,31,1
01025,9,Warm,28,30,0.9333333333333333
01025,10,Temperate,30,31,0.967741935483871
01025,11,Cold,19,30,0.6333333333333333
01025,12,Cold,31,31,1
01027,1,Cold,31,31,1
01027,2,Cold,28,28,1
01027,3,Temperate,21,31,0.6774193548387096
01027,4,Temperate,30,30,1
01027,5,Temperate,16,31,0.5161290322580645
01027,6,Warm,30,30,1
01027,7,Warm,31,31,1
01027,8,Warm,31,31,1
01027,9,Warm,28,30,0.9333333333333333
01027,10,Temperate,30,31,0.967741935483871
01027,11,Cold,19,30,0.6333333333333333
01027,12,Cold,31,31,1
01029,1,Cold,31,31,1
01029,2,Cold,28,28,1
01029,3,Temperate,21,31,0.6774193548387096
01029,4,Temperate,30,30,1
01029,5,Temperate,16,31,0.5161290322580645
01029,6,Warm,30,30,1
01029,7,Warm,31,31,1
01029,8,Warm,31,31,1
01029,9,Warm,28,30,0.9333333333333333
01029,10,Temperate,30,31,0.967741935483871
01029,11,Cold,19,30,0.6333333333333333
01029,12,Cold,31,31,1
01031,1,Cold,31,31,1
01031,2,Cold,27,28,0.9642857142857143
01031,3,Temperate,23,31,0.7419354838709677
01031,4,Temperate,30,30,1
01031,5,Warm,21,31,0.6774193548387096
01031,6,Warm,30,30,1
01031,7,Warm,31,31,1
01031,8,Warm,31,31,1
01031,9,Warm,29,30,0.9666666666666667
01031,10,Temperate,29,31,0.9354838709677419
01031,11,Cold,18,30,0.6
01031,12,Cold,31,31,1
01033,1,Cold,31,31,1
01033,2,Cold,28,28,1
01033,3,Temperate,23,31,0.7419354838709677
01033,4,Temperate,30,30,1
01033,5,Warm,18,31,0.5806451612903226
01033,6,Warm,30,30,1
01033,7,Warm,31,31,1
01033,8,Warm,31,31,1
01033,9,Warm,27,30,0.9
01033,10,Temperate,30,31,0.967741935483871
01033,11,Cold,19,30,0.6333333333333333
01033,12,Cold,31,31,1
01035,1,Cold,31,31,1
01035,2,Cold,27,28,0.9642857142857143
01035,3,Temperate,23,31,0.7419354838709677
01035,4,Temperate,30,30,1
01035,5,Warm,18,31,0.5806451612903226
01035,6,Warm,30,30,1
01035,7,Warm,31,31,1
01035,8,Warm,31,31,1
01035,9,Warm,29,30,0.9666666666666667
01035,10,Temperate,30,31,0.967741935483871
01035,11,Cold,18,30,0.6
01035,12,Cold,31,31,1
01037,1,Cold,31,31,1
01037,2,Cold,28,28,1
01037,3,Temperate,21,31,0.6774193548387096
01037,4,Temperate,30,30,1
01037,5,Warm,16,31,0.5161290322580645
01037,6,Warm,30,30,1
01037,7,Warm,31,31,1
01037,8,Warm,31,31,1
01037,9,Warm,28,30,0.9333333333333333
01037,10,Temperate,30,31,0.967741935483871
01037,11,Cold,19,30,0.6333333333333333
01037,12,Cold,31,31,1
01039,1,Cold,31,31,1
01039,2,Cold,27,28,0.9642857142857143
01039,3,Temperate,23,31,0.7419354838709677
01039,4,Temperate,30,30,1
01039,5,Warm,21,31,0.6774193548387096
01039,6,Warm,30,30,1
01039,7,Warm,31,31,1
01039,8,Warm,31,31,1
01039,9,Warm,29,30,0.9666666666666667
01039,10,Temperate,30,31,0.967741935483871
01039,11,Cold,18,30,0.6
01039,12,Cold,31,31,1
01041,1,Cold,31,31,1
01041,2,Cold,27,28,0.9642857142857143
01041,3,Temperate,23,31,0.7419354838709677
01041,4,Temperate,30,30,1
01041,5,Warm,19,31,0.6129032258064516
01041,6,Warm,30,30,1
01041,7,Warm,31,31,1
01041,8,Warm,31,31,1
01041,9,Warm,29,30,0.9666666666666667
01041,10,Temperate,30,31,0.967741935483871
01041,11,Cold,18,30,0.6
01041,12,Cold,31,31,1
01043,1,Cold,31,31,1
01043,2,Cold,28,28,1
01043,3,Temperate,23,31,0.7419354838709677
01043,4,Temperate,30,30,1
01043,5,Warm,17,31,0.5483870967741935
01043,6,Warm,30,30,1
